,Costa Festival Ibiza 25 April - 1 May 2026,,,,,,
, ,Sunday 26,Monday 27,Tuesday 28,Wednesday 29,Thursday 30,
,Seaview Football Pitch (next to tennis court),,,,,,
,10am - 10:45am,Pilates,Pilates,Pilates,Pilates,Pilates,
,Bucanero (near restaurant),,,,,,
,10am - 11am,Choir,Choir,Choir,Choir,Choir,
,Main Bar ,,,,,,
,10am - 11am,Tunes Session,Tunes Session,Tunes Session,Tunes Session,Tunes Session,
,Nautilus Bar,,,,,,
,10am - 11am,Singaround,Singaround,Singaround,Singaround,Singaround,
,Bucanero (near restaurant),,,,,,
,11:15am - 12:15pm,Ukulele W'shop,Ukulele W'shop,Ukulele W'shop,Ukulele W'shop,Ukulele W'shop,
,Infinity Pool Stage,,,,,,
,11am - 11:45pm,,"Chance to Meet
Albert Lee","Chance to Meet
Baskery","Chance to Meet
Kimmie Rhodes","Chance to Meet
Colum Sands",
,12pm -12:45pm,,"Will Pound &
Jenn Butterworth",Ags Connolly,12pm -12:45pm,Choir / Ukulele / Ensemble Showcase,
,,,,,1pm - 1:45pm,"Singaround
Showcase",
,Seaview Football Pitch (next to tennis court),,,,,,
,11am - 11:45am,Tai Chi,Tai Chi,Tai Chi,Tai Chi,Tai Chi,
,,Main Bar,,,Bucanero (near restaurant),,
,12pm - 1:30pm,Quiz with Nina,Bingo with Nina,,"Panel Game with
Nina & Guests",,
,Bucanero (near restaurant),,,,,,
,12:30pm - 1:30pm,Ensemble,Ensemble,Ensemble,Ensemble,,
,Main Stage,,,,,,
,2pm - 2:50pm,Flossie Malavialle,Suzie Ungerleider,Robert Vincent Band,Track Dogs,"Robbie K Jones
& Friends",
,3pm - 3:50pm,The Carrivick Sisters,My Darling Clementine,The Magpies,Baskery,Colum Sands,
,4pm - 5pm,Luke Jackson Trio,Hannah White Band,Fairport Convention,The Thumping Tommys,Robert Vincent Band,
,Bucanero (near restaurant),,,,,,
,5:15pm - 6:15pm,Ensemble Drop in,Ensemble Drop in,Ensemble Drop in,Ensemble Drop in,,
,Infinity Pool Stage,,,,,,
,5:30pm - 6:30pm,Suzie Ungerleider,Ags Connolly,My Darling Clementine,Kimmie Rhodes,The Thumping Tommys,
,Nautilus Bar,,,,,,
,6:30pm - 7:30pm,Open Mic ,Open Mic ,Open Mic ,Open Mic ,Open Mic ,
,Main Stage,,,,,,
,8:30pm - 9:15pm,"Will Pound &
Jenn Butterworth",Baskery,Luke Jackson Trio,Colum Sands,The Magpies,
,9:35pm - 10:50pm,Albert Lee,Fairport Convention,Kimmie Rhodes,El Pony Pisador,Track Dogs & Friends,
,Main Bar,,,,,,
,10pm - late,Late Session with Geoff Lakeman,,,,,
,Nautilus Bar,,,,,,
,10:45pm - midnight,Late Night Ceilidh,Late Night Ceilidh,Punk & New Romantic themed Disco,Late Night Ceilidh,,
,Programme correct at time of publication.  Subject to change.,,,,,,
,,,,,,,
